"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-30;11H 54M 4S;"AI";0;1;0;0;-1;1;1997;0;50;5;8;23;"When I see my friends";"Delicious food";"Social";"F&B";"Social"
2021-03-30;11H 54M 41S;"AI";1;0;1;1;-1;3;1993;3;10;20;8;1;"coffee";"sunny weather";"F&B";"Weather";"F&B"
2021-03-30;11H 57M 6S;"ECO";0;NA;1;1;1;5;1996;2;80;100;35;1;"Progress";"Happiness";"Other";"Other";"Other"
2021-03-30;11H 58M 45S;"ECO";0;0;1;1;1;5;1993;0;25;100;92;0;"Friends";"Fulfillment";"Social";"Other";"Social"
2021-03-30;12H 5M 21S;"AI";0;1;NA;1;1;3;1998;0;80;50;69;23;"Finishing a lot of work";"Playing video games with friends";"Goals";"Social";"Goals"
2021-03-30;12H 15M 56S;"AI";0;1;1;0;1;2;1996;0;20;0;46;0;"sun";"soccer";"Weather";"Exercise";"Weather"
2021-03-30;12H 17M 26S;"AI";1;1;1;1;1;1;1996;0;20;50;7;1;"The sun";"Being together with friends";"Weather";"Goals";"Weather"
2021-03-30;12H 18M 44S;"CS";1;1;1;1;-1;3;1993;0;0;50;7;23;"surfing";"sun";"Other";"Weather";"Weather"
2021-03-30;12H 20M 44S;"CS";1;NA;1;1;1;3;1997;0;99;0,05;7;1;"Xtc";"Weightlifting";"Other";"Other";"Other"
2021-03-30;12H 24M 9S;"CS";0;1;1;1;1;3;1996;0;60;10;15;0;"Sunny";"Friends";"Weather";"Social";"Weather"
2021-03-30;12H 26M 34S;"BUS";1;1;1;0;1;1;1996;0;60;100;12;23;"Doing Data Mining";"Doing more Data Mining";"Goals";"Goals";"Goals"
2021-03-30;12H 28M 12S;"AI";0;0;1;0;0;3;1996;1;50;5;7;2;"sun";"friends";"Weather";"Social";"Weather"
2021-03-30;12H 29M 20S;"CS";0;0;1;0;1;3;1999;1;10;0,2;10;23;"No obligations";"Being at home";"Resting";"Other";"Resting"
2021-03-30;12H 32M 25S;"AI";0;0;1;1;1;1;1996;0;37;5;7;1;"snow";"not messing up something";"Resting";"Resting";"Resting"
2021-03-30;12H 33M 37S;"AI";1;NA;1;1;-1;1;1996;0;50;40;8;0;"Hanging out with friend, some good food and a nice drink.";"Riding my horse with some nice weather.";"F&B";"Weather";"F&B"
2021-03-30;12H 39M 7S;"AI";0;NA;1;0;1;3;1995;1;60;5;6;23;"completed todo tasks";"real life social activity with friends";"Goals";"Social";"Goals"
2021-03-30;12H 41M 22S;"BUS";1;0;1;1;-1;3;1999;0;50;75;8;22;"1";"2";"Other";"Other";"Other"
2021-03-30;12H 42M 26S;"ECO";0;0;1;0;-1;3;1996;0;20;10;10;1;"Nice weather";"Breaks and fun with friends";"Weather";"Social";"Weather"
2021-03-30;12H 43M 4S;"AI";0;0;1;0;1;1;1997;0;80;10;9;22;"good sleep";"Me time";"Resting";"Other";"Resting"
2021-03-30;12H 46M 3S;"CS";0;NA;1;1;-1;3;1996;8;2;50;3;22;"the sun";"finishing the to-do list";"Weather";"Goals";"Weather"
2021-03-30;12H 46M 26S;"CS";1;0;1;0;1;3;1996;0;70;1;8;1;"sleeping well";"nice breakfast";"Resting";"F&B";"Resting"
2021-03-30;12H 48M 30S;"CS";1;0;1;1;1;1;1993;0;30;2,75;42;2;"Drinking coffee";"Programming";"F&B";"Other";"F&B"
2021-03-30;12H 49M 50S;"AI";0;0;1;1;1;1;1996;1;10;0;4;0;"sunny";"cool";"Weather";"Other";"Weather"
2021-03-30;12H 49M 57S;"ECO";0;0;0;NA;-1;3;1993;2;80;70;25;23;"Shining sun";"when being appreciated";"Weather";"Other";"Weather"
2021-03-30;12H 52M 26S;"BIO";1;1;NA;1;1;1;1991;2;70;5;42;21;"Having friends come over";"Spending time wth my brothers";"Social";"Other";"Social"
2021-03-30;12H 53M 52S;"ECO";0;0;1;1;-1;3;1993;2;80;5;25;23;"Shining sun";"being appeciated";"Weather";"Other";"Weather"
2021-03-30;12H 56M 10S;"AI";0;0;1;0;-1;4;1997;0;80;2;9;0;"My friends";"Good grades";"Social";"Goals";"Social"
2021-03-30;12H 57M 17S;"ECO";1;0;1;0;1;2;1996;0;60;69;8;1;"memes";"money";"Other";"Other";"Other"
2021-03-30;12H 58M 29S;"Other";0;0;1;1;1;1;1996;0;77;100;7;20;"Spend with Girlfriend";"Dinner and game with best friend";"Social";"F&B";"Social"
2021-03-30;12H 59M 30S;"ECO";1;0;1;1;1;1;1998;2;10;1;7;0;"friends";"beer";"Social";"F&B";"Social"
2021-03-30;13H 6M 45S;"BIO";1;0;NA;NA;1;5;1996;1;90;100;66;0;"21/04";"01/10";"Other";"Other";"Other"
2021-03-30;13H 8M 15S;"CS";1;0;1;0;1;1;1995;0;10;10;10;0;"Football and Beer";"Finalising a large project";"F&B";"Goals";"F&B"
2021-03-30;13H 12M 28S;"Other";0;0;1;1;-1;3;1996;1;70;50;3;0;"Petting a dog";"Reaching the goals I set for the day";"Goals";"Other";"Goals"
2021-03-30;13H 16M 39S;"ECO";1;0;1;0;1;3;1998;0;80;60;2;2;"Sleep";"Sun";"Resting";"Weather";"Resting"
2021-03-30;13H 18M 40S;"CS";0;1;1;1;1;3;1996;1;90;100;4;0;"family";"exercise";"Social";"Exercise";"Social"
2021-03-30;13H 20M 0S;"FIN";1;0;1;0;1;4;1996;1;80;50;8;0;"Sunlight";"Nice company";"Weather";"Social";"Weather"
2021-03-30;13H 20M 45S;"AI";1;1;1;0;1;2;1997;6;50;100;7;23;"Filling in a form about data mining";"No ronas";"Exercise";"Resting";"Exercise"
2021-03-30;13H 26M 16S;"CS";0;0;1;0;1;4;1996;0;66;0,8;6;23;"Sun";"Sports";"Weather";"Exercise";"Weather"
2021-03-30;13H 30M 42S;"CS";0;0;NA;0;1;1;1994;0;50;0;7;1;"Not being tired";"Eating tasty food";"Resting";"F&B";"Resting"
2021-03-30;13H 33M 38S;"CS";0;0;1;0;1;4;1996;0;1;0;7;3;"productivity";"variety";"Other";"Other";"Other"
2021-03-30;13H 40M 0S;"ECO";0;0;1;1;1;1;1996;2;80;20;7;3;"sun";"girls";"Weather";"Other";"Weather"
2021-03-30;13H 41M 52S;"CS";0;0;1;0;1;4;1991;1;30;10;3;0;"good food";"plenty of sleep";"F&B";"Resting";"F&B"
2021-03-30;13H 45M 25S;"BIO";1;0;NA;0;-1;2;1998;0;55;40;7;20;"Sun";"Cheese";"Weather";"Other";"Weather"
2021-03-30;13H 46M 26S;"AI";1;0;1;0;1;3;1997;0;15;100;12;23;"BBQ";"Surf";"Other";"Other";"Other"
2021-03-30;13H 46M 59S;"CS";1;1;0;1;0;5;1996;0;99;100;7;22;"Running";"Social activity";"Exercise";"Social";"Exercise"
2021-03-30;13H 47M 18S;"BIO";1;0;NA;0;-1;2;1996;0;19;100;7;0;"Weather";"food";"Weather";"F&B";"Weather"
2021-03-30;13H 47M 20S;"CS";1;0;1;0;-1;1;1997;0;50;100;9;22;"Kitesurfing";"Sunshine";"Other";"Weather";"Weather"
2021-03-30;13H 47M 21S;"CS";0;0;1;0;1;3;1996;0;92;100;7;0;"pizza";"sun";"Other";"Weather";"Weather"
2021-03-30;13H 47M 31S;"AI";0;0;1;0;-1;3;1998;0;30;100;7;23;"When the sun is out";"Nice plans for the day";"Weather";"Goals";"Weather"
2021-03-30;13H 48M 8S;"Other";1;0;NA;0;-1;2;1997;1;60;100;86;1;"coffee";"sunshine";"F&B";"Weather";"F&B"
2021-03-30;13H 48M 10S;"CS";0;1;1;1;1;4;1993;0;78;100;2;0;"Sunshine";"More sunshine";"Weather";"Weather";"Weather"
2021-03-30;13H 48M 56S;"AI";1;1;1;1;1;4;1997;0;69;100;7;0;"fun";"bright sun";"Other";"Weather";"Weather"
2021-03-30;13H 49M 10S;"AI";1;1;1;1;1;2;1996;0;10;1;7;2;"Good feelings";"A lot of fun";"Other";"Other";"Other"
2021-03-30;13H 49M 13S;"CS";1;NA;NA;1;1;4;1996;6;1;100;2;5;"Drinking Beer";"Gaming with Friends";"F&B";"Social";"F&B"
2021-03-30;13H 49M 29S;"BIO";1;0;1;1;1;3;1998;0;45;0,5;3,141592;23;"sun";"freedom";"Weather";"Goals";"Weather"
2021-03-30;13H 49M 45S;"CS";1;0;0;0;1;1;1996;0;0;100;2;1;"enjoying the sun";"spending time with my sons";"Weather";"Other";"Weather"
2021-03-30;13H 49M 52S;"CS";0;0;1;0;1;1;1994;0;0;100;7;22;"Sports";"Beer";"Exercise";"F&B";"Exercise"
2021-03-30;13H 49M 54S;"AI";1;1;1;0;1;1;1998;0;80;100;7;0;"friday";"saturday";"Other";"Other";"Other"
2021-03-30;13H 50M 6S;"CS";0;0;1;0;-1;3;1993;0;35;3;7;20;"Friends";"completing tasks";"Social";"Goals";"Social"
2021-03-30;13H 50M 7S;"BUS";0;0;1;0;1;3;1999;0;44;2;5;1;"football";"running";"Other";"Exercise";"Exercise"
2021-03-30;13H 50M 37S;"BUS";1;NA;1;1;-1;3;1997;4;8;100;8;22;"Cats";"Sunshine";"Other";"Weather";"Weather"
2021-03-30;13H 51M 2S;"BUS";1;1;1;1;1;3;1998;1;20;1;7;23;"Beer and friends";"No obligations";"F&B";"Resting";"F&B"
2021-03-30;13H 51M 8S;"CS";1;1;1;1;-1;2;1996;0;50;100;34;22;"sunshine";"good food";"Weather";"F&B";"Weather"
2021-03-30;13H 51M 9S;"AI";1;0;1;0;1;2;1995;0;80;100;77;20;"If a spend my day usefull. Learned new things, improving myself";"Good weather";"Goals";"Weather";"Goals"
2021-03-30;13H 51M 23S;"CS";1;0;1;1;1;4;1990;0;80;20;13;22;"Ice cream";"double ice cream";"F&B";"F&B";"F&B"
2021-03-30;13H 51M 33S;"AI";0;0;1;0;1;2;1996;0;25;25;69;21;"No work";"No stress";"Goals";"Resting";"Goals"
2021-03-30;13H 52M 11S;"BUS";1;1;1;1;1;2;1996;0;50;0,69;6;0;"Good grade";"Not filling in excessively long forms";"Goals";"Resting";"Goals"
2021-03-30;13H 53M 2S;"CS";1;0;0;0;1;1;1996;0;70;5;7;23;"coffee";"jogging";"F&B";"Exercise";"F&B"
2021-03-30;13H 53M 25S;"CS";1;1;1;1;1;3;1991;0;60;100;0;2;"Sunshine";"Warm weather";"Weather";"Weather";"Weather"
2021-03-30;13H 53M 30S;"CS";1;1;1;0;-1;2;1996;0;100;80;9;23;"Movements";"Food";"Other";"F&B";"F&B"
2021-03-30;13H 53M 48S;"BUS";1;0;1;0;1;3;1997;0;20;20;18;22;"Sun";"Beer";"Weather";"F&B";"Weather"
2021-03-30;13H 54M 12S;"ECO";1;0;0;0;1;3;1995;1;99;100;7;23;"Good company";"Good food";"Social";"F&B";"Social"
2021-03-30;13H 54M 28S;"BIO";1;NA;NA;0;-1;1;1996;2;80;100;7;23;"Nice weather";"Food";"Weather";"F&B";"Weather"
2021-03-30;13H 56M 54S;"AI";0;0;1;0;-1;4;1992;0;60;20;5;23;"Doing something meaningful";"sun";"Goals";"Weather";"Goals"
2021-03-30;13H 58M 13S;"CS";1;0;NA;1;-1;3;1995;0;75;10;5;0;"nothing";"nothing";"Resting";"Resting";"Resting"
2021-03-30;13H 59M 4S;"BIO";1;1;0;0;1;3;1996;0;80;50;18;0;"good weather";"no body dies";"Weather";"Resting";"Weather"
2021-03-30;13H 59M 37S;"AI";1;0;1;0;1;4;1994;0;0;100;7;23;"Love";"Happiness";"Other";"Other";"Other"
2021-03-30;14H 4M 42S;"Other";1;0;1;1;1;2;1996;2;55;100;5;23;"Productivity";"Fun";"Other";"Other";"Other"
2021-03-30;14H 5M 45S;"CS";1;0;1;1;-1;1;1998;0;100;70;98;23;"nice food";"good workout";"F&B";"Goals";"F&B"
2021-03-30;14H 10M 58S;"BUS";1;1;1;1;0;3;1996;1;40;5;8;23;"-";"-";"Other";"Other";"Other"
2021-03-30;14H 21M 35S;"CS";0;0;1;0;1;4;1996;0;66;0,8;6;23;"Sun";"Sports";"Weather";"Exercise";"Weather"
2021-03-30;14H 24M 7S;"BUS";1;1;1;1;1;1;1998;0;20;100;3;22;"Being productive";"Relaxing after being productive";"Goals";"Goals";"Goals"
2021-03-30;14H 24M 10S;"AI";0;0;1;1;1;1;1996;1;80;100;7;23;"Good sleep";"No homework";"Resting";"Goals";"Resting"
2021-03-30;14H 24M 26S;"AI";1;0;1;0;-1;2;1996;0;55;5;25;22;"Sun";"Good food";"Weather";"F&B";"Weather"
2021-03-30;14H 24M 33S;"AI";1;1;1;1;1;1;1995;0;70;99,99;7;23;"work, friends, play, food, sex";"relaxation, laziness, ice cream";"F&B";"F&B";"F&B"
2021-03-30;14H 24M 51S;"BIO";1;0;1;0;1;1;1996;0;50;0;1;20;"FIFA2020";"FIFA2021";"Other";"Other";"Other"
2021-03-30;14H 25M 10S;"BIO";1;0;1;0;1;1;1999;0;60;5;8;1;"Sleeping in";"No mandatory to do's";"Resting";"Goals";"Resting"
2021-03-30;14H 26M 11S;"FIN";0;0;1;0;1;1;1998;0;25;100;7;23;"happiness";"general feelings of happiness caused by a multitude of factors";"Other";"Social";"Social"
2021-03-30;14H 29M 48S;"BUS";1;0;1;0;1;2;1966;0;90;100;68;23;"Universe is there";"Universe is still there";"Other";"Other";"Other"
2021-03-30;14H 30M 33S;"AI";1;1;1;1;-1;2;1999;0;35;40;8;23;"Nice weather";"Being able to do something fun without having to think about anything else";"Weather";"Goals";"Weather"
2021-03-30;14H 32M 23S;"AI";1;1;1;0;1;3;1996;0;57;100;7;5;"cat 1";"cat 2";"Other";"Other";"Other"
2021-03-30;14H 32M 59S;"BUS";1;0;1;1;1;2;1999;0;33;100;3,5;23;"Girlfriend";"Winning";"Social";"Goals";"Social"
2021-03-30;14H 35M 8S;"AI";0;NA;1;0;-1;2;1995;2;68;13;37;0;"sleep";"sun";"Resting";"Weather";"Resting"
2021-03-30;14H 40M 53S;"FIN";1;0;1;0;1;1;1996;0;50;10;4;23;"good weather";"less stress";"Weather";"Resting";"Weather"
2021-03-30;14H 41M 7S;"ECO";0;0;0;0;-1;1;1997;1;60;5;7;1;"Pancakes";"Sun";"Other";"Weather";"Weather"
2021-03-30;14H 44M 53S;"AI";1;0;1;1;-1;3;1999;1;20;100;23;23;"reading";"no school";"Other";"Resting";"Resting"
2021-03-30;14H 51M 18S;"BUS";1;1;1;1;1;1;1999;3;75;100;6,9;2;"Good amount of sleep";"Doing something new";"Resting";"Goals";"Resting"
2021-03-30;14H 56M 37S;"BIO";1;0;0;0;-1;2;1996;1;70;30;3;0;"Sunny and dry weather";"having good conversations with friends";"Weather";"Social";"Weather"
2021-03-30;15H 1M 20S;"FIN";1;0;1;0;1;3;1992;1;90;10;7;0;"sun is out";"work out";"Weather";"Goals";"Weather"
2021-03-30;15H 32M 10S;"BIO";1;NA;1;NA;-1;4;1998;0;55;100;4;23;"Sleep";"Food";"Resting";"F&B";"Resting"
2021-03-30;15H 45M 22S;"BIO";0;0;NA;1;-1;3;1976;0;50;5;6;0;"Getting stuff done";"Trying something new";"Goals";"Other";"Goals"
2021-03-30;15H 46M 56S;"CS";0;0;1;0;-1;1;1996;0;60;20;4;22;"Coffee";"Video game";"F&B";"Other";"F&B"
2021-03-30;16H 0M 0S;"ECO";0;0;0;0;1;1;1997;0;27;0,5;8;0;"Gym/sport";"Drinking";"Exercise";"F&B";"Exercise"
2021-03-30;16H 6M 45S;"CS";0;NA;1;0;1;2;1995;4;30;0;7;23;"a variety of activities";"what i said before this question";"Social";"Other";"Social"
2021-03-30;17H 22M 43S;"BUS";1;0;1;0;-1;3;1996;0;65;25;6;23;"Nice weather";"Friends";"Weather";"Social";"Weather"
2021-03-30;17H 22M 58S;"BIO";1;NA;1;1;-1;1;1996;2;75;5;7;23;"Sunny weather";"Taking medicine";"Weather";"Other";"Weather"
2021-03-30;17H 31M 48S;"AI";0;0;1;0;1;1;1993;2;76;35;3;0;"Health";"Family";"Other";"Social";"Social"
2021-03-30;17H 32M 22S;"BIO";1;0;1;1;1;1;1996;0;65;40;2;23;"can relax";"Can do some kind of activity (sports)";"Resting";"Goals";"Resting"
2021-03-30;17H 32M 37S;"BUS";1;1;1;1;1;4;1998;0;10;10;5;23;"no stress";"doing sports";"Resting";"Goals";"Resting"
2021-03-30;17H 34M 15S;"CS";1;1;1;1;1;1;1996;0;50;10;6;23;"Free";"Sports";"Resting";"Exercise";"Resting"
2021-03-30;17H 35M 59S;"FIN";0;0;1;0;1;3;1998;2;50;100;7;2;"Not filling in pointless surveys";"Seeing loved ones";"Resting";"Other";"Resting"
2021-03-30;17H 38M 28S;"CS";1;1;1;1;-1;3;1997;0;80;30;76;22;"Good food";"Friends";"F&B";"Social";"F&B"
2021-03-30;17H 45M 4S;"AI";1;0;1;0;-1;3;1997;0;80;100;5;23;"laughter";"no homework";"Other";"Goals";"Goals"
2021-03-30;17H 46M 28S;"AI";1;1;1;1;1;1;1996;0;50;100;67;23;"Sunny weather";"Women with sundresses on";"Weather";"Weather";"Weather"
2021-03-30;17H 46M 38S;"FIN";1;0;1;0;1;3;1988;7;25;100;13;0;"Fun";"Sleep";"Other";"Resting";"Resting"
2021-03-30;17H 53M 12S;"AI";1;1;1;1;1;4;1996;0;50;100;7;23;"Sex";"Sex * 2";"Resting";"Resting";"Resting"
2021-03-30;17H 57M 8S;"AI";1;1;1;1;1;3;1995;0;99;3,14;69;23;"No deadlines";"#ADATOTHEMOON";"Goals";"Other";"Goals"
2021-03-30;17H 58M 46S;"BUS";1;1;1;1;-1;2;1997;0;50;2;5;2;"Hot temperature";"Airco";"Other";"Other";"Other"
2021-03-30;18H 2M 16S;"AI";1;1;1;1;1;1;1995;1;10;0,5;1;23;"Good sleep";"Nice people";"Resting";"Social";"Resting"
2021-03-30;18H 2M 50S;"BIO";0;0;1;0;1;3;1995;0;100;10;28;0;"Meeting a friend";"Having a good meal";"Social";"F&B";"Social"
2021-03-30;18H 4M 36S;"AI";0;1;1;1;0;4;1996;1;30;100;0;1;"Making money and not being with my girlfriend";"Not being with my girlfriend and making money";"Social";"Social";"Social"
2021-03-30;18H 11M 57S;"AI";1;1;1;1;-1;4;1998;1;100;0;7;23;"Sun";"Chocolate";"Weather";"Other";"Weather"
2021-03-30;18H 12M 21S;"BIO";0;0;1;0;1;3;1995;0;100;10;28;0;"Meeting a friend";"Having a good meal";"Social";"F&B";"Social"
2021-03-30;18H 12M 43S;"AI";1;0;0;1;0;3;1996;7;69;100;7;1;"Good food";"Lots of sleep";"F&B";"Resting";"F&B"
2021-03-30;18H 19M 3S;"BIO";0;0;0;1;-1;1;1997;0;50;100;5;23;"less hmw";"clear instructions to get 10 from hmw!";"Other";"Goals";"Goals"
2021-03-30;18H 35M 43S;"BIO";1;0;0;1;1;1;1993;0;50;100;6;1;"productive";"funny";"Goals";"Other";"Goals"
2021-03-30;18H 39M 26S;"AI";1;1;1;0;1;4;2000;1;40;50;50;0;"50";"50";"Other";"Other";"Other"
2021-03-30;18H 39M 31S;"BIO";1;0;1;0;-1;2;1996;0;100;30;10;23;"No homework, no school";"No school, no homework";"Goals";"Goals";"Goals"
2021-03-30;18H 39M 35S;"ECO";1;0;1;0;1;1;1997;0;50;50;9;2;"Good weather";"No covid";"Weather";"Resting";"Weather"
2021-03-30;18H 48M 33S;"Other";1;1;1;1;0;4;2001;6;99;100;0;23;"1";"2";"Other";"Other";"Other"
2021-03-30;18H 56M 8S;"ECO";0;0;1;1;1;2;2001;4;50;100;7;1;"Puthie";"More puthie";"Other";"Other";"Other"
2021-03-30;19H 3M 43S;"AI";1;0;1;1;1;2;1998;0;35;33;7;23;"weather";"full stomach";"Weather";"F&B";"Weather"
2021-03-30;19H 5M 48S;"FIN";1;1;1;1;-1;2;1996;1;22;75;5;2;"Surrounded with family";"Food";"Social";"F&B";"Social"
2021-03-30;19H 6M 48S;"BIO";0;0;1;0;1;3;1995;0;100;10;28;0;"Meeting a friend";"Having a good meal";"Social";"F&B";"Social"
2021-03-30;19H 36M 23S;"AI";1;1;1;1;-1;4;1998;1;100;0;7;23;"Sun";"Chocolate";"Weather";"Other";"Weather"
2021-03-30;19H 39M 32S;"ECO";1;1;1;1;1;3;1998;2;60;60;82;4;"Sun";"Girls";"Weather";"Other";"Weather"
2021-03-30;19H 59M 3S;"CS";1;0;1;1;1;3;1996;2;60;100;7;0;"delicious food";"relaxing atmosphere";"F&B";"Resting";"F&B"
2021-03-30;20H 5M 41S;"CS";1;0;1;0;-1;3;1997;1;98;0;7;23;"Finishing tasks";"GME go brrrr";"Goals";"Other";"Goals"
2021-03-30;20H 5M 56S;"BIO";1;1;0;1;1;4;1996;1;50;0;35;0;"Sun";"Wine";"Weather";"F&B";"Weather"
2021-03-30;20H 19M 21S;"ECO";1;0;1;1;-1;1;1996;0;80;100;10;1;"Good food";"Sunny day";"F&B";"Weather";"F&B"
2021-03-30;20H 26M 14S;"CS";1;1;1;1;1;1;1996;0;100;100;52;0;"Warhammer";"Warhammer 40.000";"Other";"Other";"Other"
2021-03-30;20H 31M 27S;"Other";1;0;0;0;0;2;1997;0;45;0;7;23;"you";"also you";"Other";"Other";"Other"
2021-03-30;21H 0M 15S;"ECO";1;0;1;1;1;3;1996;3;10;50;6;1;"love";"sex";"Other";"Resting";"Resting"
2021-03-30;21H 2M 22S;"AI";0;0;0;NA;1;2;1993;0;20;2;51;0;"5";"5";"Other";"Other";"Other"
2021-03-30;21H 6M 27S;"FIN";1;0;1;1;1;1;1999;2;75;0,25;5;1;"Sex";"Good food";"Resting";"F&B";"Resting"
2021-03-30;21H 24M 56S;"AI";1;1;1;1;-1;1;1997;1;20;2;7;0;"Sun";"Boyfriend";"Weather";"Social";"Weather"
2021-03-30;21H 25M 13S;"BIO";1;0;1;0;1;1;1996;0;77;100;7;1;"Beer";"Friends";"F&B";"Social";"F&B"
2021-03-30;21H 27M 34S;"BUS";1;1;1;1;1;3;1999;1;10;100;0;23;"having breakfast with pancakes and strawberries";"Chilling at the beach on a sunny day";"F&B";"Weather";"F&B"
2021-03-30;21H 27M 46S;"ECO";1;0;1;0;1;3;1995;4;99;17;17;0;"what";"when";"Other";"Other";"Other"
2021-03-30;21H 34M 48S;"ECO";1;0;1;1;-1;1;1995;3;80;100;-3;23;"A bunch of laughing";"Bingewatching my favourite shows";"Other";"Other";"Other"
2021-03-30;21H 36M 33S;"ECO";1;1;NA;0;1;1;1996;0;30;20;6;23;"saturday";"sunday";"Other";"Weather";"Weather"
2021-03-30;21H 54M 8S;"AI";0;0;1;1;-1;3;1998;1;70;1;8;1;"sun";"weekend";"Weather";"Other";"Weather"
2021-03-30;22H 17M 11S;"FIN";1;1;1;1;1;2;1996;0;55;100;7;4;"Bananas";"Test";"Other";"Other";"Other"
2021-03-30;22H 19M 48S;"AI";0;1;1;0;1;3;1987;0;95;10;7;23;"progress";"friends";"Other";"Social";"Social"
2021-03-30;22H 30M 34S;"CS";1;1;1;1;-1;2;1989;0;70;99;12;23;"Sunshine";"Family and friends";"Weather";"Social";"Weather"
2021-03-30;22H 37M 23S;"BIO";1;0;1;1;1;2;1996;1;80;1;2;1;"Sunshine";"Exercise";"Weather";"Exercise";"Weather"
2021-03-30;22H 42M 18S;"AI";1;1;1;0;-1;1;1996;0;80;80;10;23;"sunshine";"happiness";"Weather";"Other";"Weather"
2021-03-30;22H 58M 28S;"FIN";1;0;1;0;1;4;1996;1;87;100;3,1416;22;"football";"Sun";"Other";"Weather";"Weather"
2021-03-30;23H 12M 8S;"FIN";1;1;0;0;-1;1;1994;0;50;20;20;2;"Weather";"Good news";"Weather";"Other";"Weather"
2021-03-30;23H 14M 42S;"FIN";0;0;1;0;1;3;1998;3;0;0,25;59;1;"Good food";"Good music";"F&B";"Resting";"F&B"
2021-03-30;23H 44M 58S;"BUS";1;0;1;1;1;2;1998;1;70;1;6;23;"You";"Me";"Other";"Other";"Other"
